gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
WSN_NP,92903.9450492549,22.0487426641256,2.08058709888264,10.5973658473451,3.06491484318423e-26,1.20323448552008e-23,WSN_NP
WSN_M,52777.5431738724,21.1549501054283,2.06229192432147,10.2579803838337,1.0896174220487601e-24,3.9486059040551497e-22,WSN_M
WSN_NS,56417.8457943966,20.6514887419645,2.1065327368974,9.80354512428843,1.0870211081955199e-22,3.0123273180641704e-20,WSN_NS
WSN_PA,36047.2151975603,20.0293814339987,2.28250945544907,8.7751581427986,1.70663864062265e-18,3.2816223003972697e-16,WSN_PA
WSN_HA,25044.1048216535,19.8981661727436,2.08160703432213,9.55904060884546,1.18853336162833e-21,3.0265841441249e-19,WSN_HA
WSN_PB2,67138.1878079769,17.7818232012948,1.16432611252861,15.272201670954,1.17149983418683e-52,1.8396452396180597e-49,WSN_PB2
WSN_NA,17866.2300973104,17.2032845816799,1.54149913194553,11.1601000773627,6.39195794802628e-29,3.01125138931518e-26,WSN_NA
WSN_PB1,155276.061970244,17.1865306191645,1.40760051592397,12.2098069905032,2.75542047662115e-34,1.62259823317028e-31,WSN_PB1
ENSG00000252179.1,179.638329590915,13.5741292143661,2.2897390425022,5.92824289685539,3.06193352293047e-09,1.32947178124659e-07,RNA5SP255
ENSG00000290915.1,205.190845421284,13.5721787237966,2.08698956397142,6.50323267451781,7.861206004789329e-11,4.7479668575080206e-09,KLKP1
ENSG00000290068.1,77.5713050815442,12.3029451410244,2.10687731391921,5.83942171655855,5.23823225639265e-09,2.19353885865474e-07,ENSG00000290068
ENSG00000253058.1,81.6288878238324,12.0619845052292,2.09845230739721,5.74803842942236,9.02847220110768e-09,3.63531047345455e-07,RNA5SP437
ENSG00000284607.1,64.4577586565343,11.9953232596852,2.1030758665512,5.70370448849099,1.17231247203944e-08,4.60230337981484e-07,ENSG00000284607
ENSG00000260035.1,15262.4811493176,11.8537207005568,0.93439962768438,12.6859219003892,7.077614403071e-37,5.12963714659499e-34,ENSG00000260035
ENSG00000286644.1,63.8564379085632,11.7611371884708,2.07768478755364,5.66069370047174,1.50762309624283e-08,5.72775194064514e-07,ENSG00000286644
ENSG00000287001.3,128253.889201326,11.7409786802204,0.472504464813321,24.8483973264868,2.69110021873621e-136,1.26777731304663e-132,ENSG00000287001
ENSG00000157856.12,41.3061794590166,11.1551744941976,2.10716088824508,5.29393581497618,1.19711464759249e-07,3.54692270742656e-06,DRC1
ENSG00000255468.7,661.193624264442,11.0677823239665,1.1414799532199,9.69599360264393,3.1357051972989397e-22,8.44131839112875e-20,B4GAT1-DT
ENSG00000159450.13,32.1848581376872,11.0532474267333,2.14316740036934,5.15743540370594,2.50355176850331e-07,6.66340812509553e-06,TCHH
ENSG00000224843.8,30.3384287264423,10.8389705450536,2.16885557204468,4.9975529420962,5.80624009077353e-07,1.39202020700428e-05,LINC00240
ENSG00000261889.1,3002.95104085876,10.767647129646,0.645052713226225,16.6926623342017,1.48211499172859e-62,4.65482915068893e-59,ENSG00000261889
ENSG00000253848.1,23.2102624513015,10.6100141620387,2.13025537282466,4.98063016171159,6.33775580732558e-07,1.49659988011583e-05,RBM12B-DT
